addr	name	size	callers	callees	strings
0000626c	rom_0626C	1	FUN_0003dfd2;rwip_driver_init		
0000692c	rom_0692C	1	rwip_driver_init		
000069c4	rom_069C4	1	FUN_0003e04e		
000069dc	rom_069DC	1	FUN_0003e304		
00006a88	rom_06A88	1	rwip_driver_init		
00006ab4	rom_06AB4	1	FUN_0003dfd2		
00006af0	rom_06AF0	1	FUN_0003e304		
00006b14	rom_06B14	1	FUN_0003dd8e		
00006b28	rom_06B28	1	FUN_0003dd1c;FUN_0003dd72		
00006b5a	rom_06B5A	1	FUN_0003dd56		
00006bce	rom_06BCE	1	FUN_0003e03e		
00006bf8	rom_06BF8	1	rwip_driver_init		
00006d2c	rom_06D2C	1	FUN_0003ef48;FUN_00041160		
00006df6	rom_06DF6	1	FUN_0003efc6;FUN_0003f370;FUN_0003f9a0;FUN_0003fa7a;FUN_0003fbda;FUN_0004008a;FUN_00040528;FUN_00041160;FUN_00041540;FUN_00041efc		
00006ef4	rom_06EF4	1	FUN_00029464;FUN_00029490;FUN_000294f8;FUN_00029530;FUN_000295aa;FUN_0002bf04;FUN_0002bf30;FUN_0002bf5c;FUN_0002bf88;FUN_0002c046;FUN_0002c124;FUN_0002c158;FUN_0002ca56;FUN_0002cad2;FUN_0002cafe;FUN_0002d53c;FUN_0002da7e;FUN_0002f438;FUN_0002f5d4;FUN_0003e7d2;FUN_0003e854;FUN_0003e888;FUN_0003e8c2;FUN_0003e902;FUN_0003eb28;FUN_0003f3cc;FUN_0003f418;FUN_0003fb24;FUN_0003fbda;FUN_0003fd6e;FUN_0003fdd4;FUN_000400e2;FUN_00040768;FUN_0004169a;FUN_00041798;FUN_0004186c;FUN_00041922;FUN_00041f62;FUN_000420ee;FUN_00042132;adv_data;app_ancs_add_ancsc;app_ancsc_delete_call;app_hid_enable_prf;app_oad_add_oads;app_sec_send_security_req;appm_create_advertising;appm_delete_advertising;appm_update_param;gattc_att_info_req_ind_handler;gattc_att_info_req_ind_handler_2;hogpd_ctnl_pt_ind_handler;hogpd_proto_mode_cfm_handler;hogpd_report_upd_req_handler;oadImgIdentifyReq;prf_register_atthdl2gatt;update		
00006f26	rom_06F26	1	APP_PARAM_UPDATE_REQ_IN;FUN_00029464;FUN_00029490;FUN_000294f8;FUN_00029530;FUN_000295aa;FUN_0002bf04;FUN_0002bf30;FUN_0002bf5c;FUN_0002bf88;FUN_0002c046;FUN_0002c124;FUN_0002c158;FUN_0002ca56;FUN_0002cad2;FUN_0002cafe;FUN_0002cda6;FUN_0002d53c;FUN_0002da7e;FUN_0002f438;FUN_0002f5d4;FUN_0003e7d2;FUN_0003e854;FUN_0003e888;FUN_0003e8c2;FUN_0003e902;FUN_0003eb28;FUN_0003f3cc;FUN_0003f418;FUN_0003fb24;FUN_0003fbda;FUN_0003fd3a;FUN_0003fd6e;FUN_0003fdd4;FUN_000400e2;FUN_00040768;FUN_00040d28;FUN_0004169a;FUN_00041798;FUN_0004186c;FUN_00041922;FUN_00041f62;FUN_000420ee;FUN_00042132;adv_data;app_ancs_add_ancsc;app_ancsc_delete_call;app_hid_enable_prf;app_oad_add_oads;app_sec_send_security_req;appm_create_advertising;appm_delete_advertising;appm_update_param;gattc_att_info_req_ind_handler;gattc_att_info_req_ind_handler_2;hogpd_ctnl_pt_ind_handler;hogpd_proto_mode_cfm_handler;hogpd_report_upd_req_handler;oadImgIdentifyReq;prf_register_atthdl2gatt;update		
00006f58	rom_06F58	1	gpio		
00006f80	rom_06F80	1	update		
00007108	rom_07108	1	FUN_00029530;FUN_0003ec6a		
00007180	rom_07180	1	FUN_00029530;FUN_0002d53c;FUN_0003ef48;FUN_0003f9a0;FUN_0003fbda;FUN_0003fd6e;FUN_00041160;FUN_00041922;FUN_000420ee;FUN_00042132;hogpd_proto_mode_cfm_handler;hogpd_report_upd_req_handler		
000071ea	rom_071EA	1	Disconnected;FUN_00028c66;FUN_0002b18e;FUN_0002b8a2;FUN_0002bd62;FUN_0003300e;FUN_0003fd6e;FUN_00041922;FUN_00042132;app_env;app_mutli_link_change;disconnect;f_usb_isConnected;force_ble_sleep;gpio;hogpd_proto_mode_cfm_handler;hogpd_report_upd_req_handler		
00007212	rom_07212	1	FUN_0003ec6a		
00007342	rom_07342	1	APP_PARAM_UPDATE_REQ_IN;APP_PARAM_UPDATE_REQ_IND;APP_PARAM_UPDATE_REQ_IND_2;APP_PARAM_UPDATE_REQ_IND_3;BLE_PAIR;FUN_0002d53c;Success_led_2second_2;app_start_led;ble_alert_led_start;ble_update_param_failed_cnt;force_ble_sleep;force_ble_sleep_2;set_Update_OLED_3		
000073d4	rom_073D4	1	APP_PARAM_UPDATE_REQ_IN;BLE_PAIR;Success_led_2second_2;app_sec_send_security_req;app_user_ke_timer_stop;ble_alert_led_stop;force_ble_sleep		
00007434	rom_07434	1	gpio		
000074a0	rom_074A0	1	FUN_0003dc3c		
00007806	rom_07806	1	FUN_0003dc3c		
0000c1ca	rom_0C1CA	1	FUN_0003dc3c		
00011550	rom_11550	1	app_ble_address_update;force_pair_en		
0001169a	rom_1169A	1	FUN_0003dc3c		
0001477c	rom_1477C	1	FUN_0003dfd2;rwip_driver_init		
00015c36	rom_15C36	1	FUN_0003dfd2;rwip_driver_init		
00015c40	rom_15C40	1	FUN_0003dd00		
00015f90	rom_15F90	1	FUN_0003dfd2;rwip_driver_init		
00016216	rom_16216	1	FUN_0003dd3a		
00016508	rom_16508	1	FUN_0003dfd2;rwip_driver_init		
00016930	rom_16930	1	FUN_0003dfd2;rwip_driver_init		
0001695e	rom_1695E	1	FUN_0003e1ec		
00016bce	rom_16BCE	1	FUN_0003dfd2;rwip_driver_init		
00016cac	rom_16CAC	1	FUN_0003dfd2;rwip_driver_init		
00016d94	rom_16D94	1	FUN_0003dd56		
000179a0	rom_179A0	1	FUN_0003ef48		
000179c6	rom_179C6	1			
00017a12	rom_17A12	1	FUN_0003efc6		
00017a26	rom_17A26	1			
00018038	rom_18038	1	FUN_0003e1ec		
