new_name	old_name	kind	subsystem
ble_g_400052	var_400052	global	ble
ble_g_40006d	var_40006d	global	ble
ble_g_40009c	var_40009c	global	ble
ble_g_4000a1	var_4000a1	global	ble
ble_g_400464	var_400464	global	ble
ble_g_400698	var_400698	global	ble
ble_g_4006c0	var_4006c0	global	ble
ble_g_4006cc	var_4006cc	global	ble
ble_g_4006d0	var_4006d0	global	ble
ble_g_4006d4	var_4006d4	global	ble
ble_g_4006dc	var_4006dc	global	ble
ble_g_4006e0	var_4006e0	global	ble
ble_g_4006e4	var_4006e4	global	ble
ble_g_4006e8	var_4006e8	global	ble
ble_g_4006ec	var_4006ec	global	ble
ble_g_4006f0	var_4006f0	global	ble
ble_g_4006f4	var_4006f4	global	ble
ble_g_4006f8	var_4006f8	global	ble
ble_g_4006fc	var_4006fc	global	ble
ble_g_400700	var_400700	global	ble
ble_g_400704	var_400704	global	ble
ble_g_400708	var_400708	global	ble
ble_g_400710	var_400710	global	ble
ble_g_400714	var_400714	global	ble
ble_g_400718	var_400718	global	ble
ble_g_400752	var_400752	global	ble
ble_g_400a07	var_400a07	global	ble
ble_g_400a0b	var_400a0b	global	ble
ble_g_400a0d	var_400a0d	global	ble
ble_g_400a0e	var_400a0e	global	ble
ble_g_400a11	var_400a11	global	ble
ble_g_400a14	var_400a14	global	ble
ble_g_400a15	var_400a15	global	ble
ble_g_400a33	var_400a33	global	ble
ble_g_400a34	var_400a34	global	ble
ble_g_400a35	var_400a35	global	ble
ble_g_400a38	var_400a38	global	ble
ble_g_400a4d	var_400a4d	global	ble
ble_g_400a4e	var_400a4e	global	ble
ble_g_400a54	var_400a54	global	ble
ble_g_400a58	var_400a58	global	ble
ble_g_400a5a	var_400a5a	global	ble
ble_g_400a5d	var_400a5d	global	ble
ble_g_400a5e	var_400a5e	global	ble
ble_g_400a5f	var_400a5f	global	ble
ble_g_400a68	var_400a68	global	ble
ble_g_400a98	var_400a98	global	ble
ble_g_400ac9	var_400ac9	global	ble
ble_g_400ade	var_400ade	global	ble
ble_g_400ae2	var_400ae2	global	ble
ble_g_400af2	var_400af2	global	ble
ble_g_400af3	var_400af3	global	ble
ble_g_400af4	var_400af4	global	ble
ble_g_400af6	var_400af6	global	ble
ble_g_400af9	var_400af9	global	ble
ble_g_400afc	var_400afc	global	ble
ble_g_400b01	var_400b01	global	ble
ble_g_400b0c	var_400b0c	global	ble
ble_g_400b11	var_400b11	global	ble
ble_g_400b12	var_400b12	global	ble
ble_g_400b37	var_400b37	global	ble
ble_g_400b38	var_400b38	global	ble
ble_g_400b64	var_400b64	global	ble
ble_g_400b6b	var_400b6b	global	ble
ble_g_400b78	var_400b78	global	ble
ble_g_400b8d	var_400b8d	global	ble
ble_g_400b90	var_400b90	global	ble
ble_g_400b91	var_400b91	global	ble
ble_g_400b92	var_400b92	global	ble
